Orden,Libro,Capítulo,Título del capítulo,Autor citado,Forma normalizada,Obra asociada,Pasaje / contexto,Función de la cita,Tipo de fuente,Observaciones,Validación 1617,Coincidencia OCR 1617,Cita literal 1617 (OCR),Línea OCR cita 1617,Rango OCR 1617,Notas validación 1617
157,IV,XIII,En qué parte de España está Elbora,Tito Livio,Tito Livio,Ab urbe condita,"Tito Livio, sobre lo mismo.",Autoridad historiográfica de apoyo,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,livio,"frefea y fcrtilrantiguamétc tuuo muchos / apellidos, Ptolomco le llamó Libora, Ti / tó Liuio Eburá,cn tiempo de los Godos / fe llamó Elbora, y aun tdgunos cnLatiii / le dan nombre de T alabrica, engañados",24887,líneas 24665-24890,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
158,IV,XIV,La descripción de Elbora,Ptolomeo,Ptolomeo,Geographia,"Ptolomeo, Tito Livio.",Autoridad historiográfica de apoyo,Clásica grecorromana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,ptolomeo,"bros que eferiuio no dan mueftra de in- / genio groircro,ni de falta de cntcdimié / to. PorlomcnosPtolomeole da nom- / bre de Libora,y cerca dclla pone a llura",24694,líneas 24861-26409,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
159,IV,XIV,La descripción de Elbora,Tito Livio,Tito Livio,Ab urbe condita,"Ptolomeo, Tito Livio.",Autoridad historiográfica de apoyo,Clásica romana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,livio,"frefea y fcrtilrantiguamétc tuuo muchos / apellidos, Ptolomco le llamó Libora, Ti / tó Liuio Eburá,cn tiempo de los Godos / fe llamó Elbora, y aun tdgunos cnLatiii / le dan nombre de T alabrica, engañados",24887,líneas 24861-26409,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
160,IV,XIV,La descripción de Elbora,moro Rasis,Ahmad al-Razi / el moro Rasis,Crónica / tradición andalusí,"El moro Rasis ( Áhmad ibn Muhámmad ibn Mūsà al-Rāzī). Murallas de Talavera atribuidas a los visigodos. Mariana emplea al moro Rasis como contrapunto, puesto que dice, las mismas fueron levantadas por los musulmanes para defenderse de las correrías de los cristianos, en el s. X. Cuidado, incluye una cita de este autor.",Autoridad geográfica/toponímica,Andalusí / medieval,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 24861-26409,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
161,IV,XIV,La descripción de Elbora,Escritura en el monasterio de San Clemente,Escritura del monasterio de San Clemente de Toledo,Documento no identificado,Escritura en el monasterio de San Clemente de Toledo. ¿Es fuente primaria? No especifica cuál es.,Autoridad historiográfica de apoyo,Documental / archivo,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 24861-26409,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
162,IV,XV,De los Emperadores Constancio y Galerio,Pietro Ricci,Pietro Crinito,No determinada,"Pietro Ricci (Crinito), s. XV-XVI. Florencia. Sobre el poeta Rufo Festo Avieno.",Autoridad historiográfica de apoyo,Humanista italiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,crinito,"ílc tiepo Rufo f ello Auicno, noble eferi / tór de las colas y hiftoria de Roma , y aú / Poeta fcñalado. Afsi lo dizc Crinito. El / añofiguiétc*,ddpucsq el Emperador Có / ílácio murio,Maxécio,bíjo de MaximSa",25172,líneas 24861-26409,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
163,IV,XV,De los Emperadores Constancio y Galerio,Rufo Festo,Sexto Rufo / Rufo Festo,Breviarium,"Pietro Ricci (Crinito), s. XV-XVI. Florencia. Sobre el poeta Rufo Festo Avieno.",Autoridad historiográfica de apoyo,Tardorromana / compendio,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,rufo,"ua,^r Bula J1 Papa Alexádro Vl.fc traf / lado a la eiuda J S Vi>ff oria.Fuc-otrofi de / ílc tiepo Rufo f ello Auicno, noble eferi / tór de las colas y hiftoria de Roma , y aú / Poeta fcñalado. Afsi lo dizc Crinito. El",25170,líneas 24861-26409,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
164,IV,XVI,Del Emperador Constantino Magno,Moro Rasis,Ahmad al-Razi / el moro Rasis,Crónica / tradición andalusí,"Moro Rasis, sobre la división en diócesis de Constantino.",Autoridad historiográfica de apoyo,Andalusí / medieval,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 24861-26409,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
165,IV,XVI,Del Emperador Constantino Magno,Eusebio Cesariense,Eusebio de Cesarea,Chronicon / Historia ecclesiastica,Eusebio Cesariense → escribe fábulas. ¿Autor desacreditado por Mariana?,Fuente problemática o usada críticamente,Cristiana tardoantigua,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Caso crítico/problemático.,Confirmado en 1617,eusebio,"tenia el cuerpo todo. Engaño que ha en / ^ parte diminuydo la deuocion , paracó ^ / y algunos l'antuarios. Eufebio refiere que / vio por cfte tiempo a las bcíliasfieras,ni / por hambrc,ni de otra manera,podcr ir-",25070,líneas 24861-26409,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
166,IV,XVII,De los hijos del gran Constantino,San Jerónimo,Jerónimo,No determinada,"San Jerónimo, sobre el concilio de Armino (concilio Ariminense, actual Rímini), donde unos prelados arrianos engañan a otros tantos católicos para convertirlos a su secta (arrianismo considerado como secta o herejía).",Autoridad eclesiástica/cristiana,Patrística latina,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 24861-26409,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
167,IV,XVII,De los hijos del gran Constantino,arriano,Arriano,Obra histórica/geográfica,"San Jerónimo, sobre el concilio de Armino (concilio Ariminense, actual Rímini), donde unos prelados arrianos engañan a otros tantos católicos para convertirlos a su secta (arrianismo considerado como secta o herejía).",Autoridad eclesiástica/cristiana,Clásica griega,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,arriano,"edad fe dexó bautizar en Nicomedia,! / por Eufebio Obifpo de aquella ciudad,! / ^ grá fauorccedor de los Arrianos,y q di- / lató tanto tiépo el bautizarle, por deíTeo / q tenia a cxC'plo de Chrifto de hazello",25628,líneas 24861-26409,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
168,IV,XVII,De los hijos del gran Constantino,San Idisoro,Isidoro de Sevilla,Etymologiae / obras históricas,"San Idisoro, toma el testimonio de Marcelino presbítero en sus biografías de hombres ilustres. Habla de San Hilario de Osio (En principio es San Hilario de Poitiers, defensor del catolicismo frente al arrianismo en el siglo IV.)",Autoridad historiográfica de apoyo,Medieval / patrística hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,isidoro,"dernos tienen cftc cuento por falfo, y ta / chan el teÜimonio de Marccllino pref- / by tcrojde quien fan Ifidoro en los varo / nes iluftres tomó lo que queda dicho. / Pero a mi mucha fuerza me hazclo que",25846,líneas 24861-26409,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
169,IV,XIX,De los Emperadores Valentiniano y Valente,Amiano Marcellino,Amiano Marcelino,Res gestae,"Amiano Marcellino, s. IV-V. Según Mariana era Español, pero fuentes actuales concuerdan que era de Antioquía, Siria. Sobre las revueltas ocurridas tras la muerte del Papa Liberio y la elección de un nuevo pontífice (año 366).",Autoridad cronológica,Tardorromana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,amiano,"ñoI,y perfonade grandes partes.Con ef / B ta diuifion fe encendió tan grande albo- / roto,que,como lo cuenta Amiano Mar- / cellino hirtoriador gentil,y dcaquel tic- / po,en folo vn dia dentro de la Iglcfia de",26101,líneas 24861-26409,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
170,IV,XIX,De los Emperadores Valentiniano y Valente,Marcellino,Amiano Marcelino,Res gestae,"De nuevo Marcellino, que lo emplea como fuente para tratar este periodo: Cuestiones eclesiásticas acontecidas durante el gobierno de Valente.",Autoridad historiográfica de apoyo,Tardorromana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,amiano,"ñoI,y perfonade grandes partes.Con ef / B ta diuifion fe encendió tan grande albo- / roto,que,como lo cuenta Amiano Mar- / cellino hirtoriador gentil,y dcaquel tic- / po,en folo vn dia dentro de la Iglcfia de",26101,líneas 24861-26409,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
171,IV,XX,"De los Emperadores Graciano, Valentiniano y Teodosio",Severo Sulpicio,Sulpicio Severo,Chronica,"Severo Sulpicio, una sentencia referente a la excomunión de varios eclesiásticos, comunicada a Itacio obispo Sossubense. Habla de la controversia prisciliana de finales del siglo IV.",Autoridad eclesiástica/cristiana,Cristiana tardoantigua,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 24861-26409,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
172,IV,XX,"De los Emperadores Graciano, Valentiniano y Teodosio",San Isidoro,Isidoro de Sevilla,Etymologiae / obras históricas,"San Isidoro y Sigiberto (Sigeberto de Gembloux, s. XI-XII). Discuten la procedencia del obispo Itacio. San Isidoro dice que es Español, Sigiberto que era de Lamego. En cualquier caso, parece que era portugués (buscar una fuente que lo acredite, lo mismo para otros casos).",Autoridad eclesiástica/cristiana,Medieval / patrística hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,isidoro,"dernos tienen cftc cuento por falfo, y ta / chan el teÜimonio de Marccllino pref- / by tcrojde quien fan Ifidoro en los varo / nes iluftres tomó lo que queda dicho. / Pero a mi mucha fuerza me hazclo que",25846,líneas 24861-26409,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
173,IV,XX,"De los Emperadores Graciano, Valentiniano y Teodosio",Sigiberto,Sigeberto de Gembloux,Chronographia,"San Isidoro y Sigiberto (Sigeberto de Gembloux, s. XI-XII). Discuten la procedencia del obispo Itacio. San Isidoro dice que es Español, Sigiberto que era de Lamego. En cualquier caso, parece que era portugués (buscar una fuente que lo acredite, lo mismo para otros casos).",Autoridad eclesiástica/cristiana,Medieval cristiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 24861-26409,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
174,IV,XX,"De los Emperadores Graciano, Valentiniano y Teodosio",San Isidoro,Isidoro de Sevilla,Etymologiae / obras históricas,"San Isidoro, sobre el destierro de Itacio e Idacio. Herejes.",Autoridad eclesiástica/cristiana,Medieval / patrística hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,isidoro,"dernos tienen cftc cuento por falfo, y ta / chan el teÜimonio de Marccllino pref- / by tcrojde quien fan Ifidoro en los varo / nes iluftres tomó lo que queda dicho. / Pero a mi mucha fuerza me hazclo que",25846,líneas 24861-26409,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
175,IV,XX,"De los Emperadores Graciano, Valentiniano y Teodosio",San Isidoro,Isidoro de Sevilla,Etymologiae / obras históricas,"San Isidoro, sobre una epístola escrita por el papa Siricio a Himerio, obispo de Tarragona. Muy importante, empleada en el primer concilio de Toledo, y mencionada por el propio Isidoro en sus biografías de hombres ilustres.",Autoridad eclesiástica/cristiana,Medieval / patrística hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,isidoro,"dernos tienen cftc cuento por falfo, y ta / chan el teÜimonio de Marccllino pref- / by tcrojde quien fan Ifidoro en los varo / nes iluftres tomó lo que queda dicho. / Pero a mi mucha fuerza me hazclo que",25846,líneas 24861-26409,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
176,IV,XX,"De los Emperadores Graciano, Valentiniano y Teodosio",Claudiano,Claudiano,No determinada,"Claudiano, poeta, s. IV-V, Alejandría. Narra la batalla del Frígido, entre el emperador Teodosio I y el usurpador Eugenio. En el 394.",Autoridad narrativa bélica,Tardorromana / poesía,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Localizado en el libro; capítulo no confirmado por OCR,claudiano,"• como lo cantó Claudiano poeta (le a- / qucl ticpo,muy famofo,fi pagano» fi fiel / , 6o fe fabe; lo mas cierto es, que no fue",26750,líneas 24861-26409,"El OCR localiza el nombre dentro del mismo libro, pero no dentro del rango capitular aproximado. Requiere revisión manual."
177,IV,XXI,De los Emperadores Arcadio y Honorio,San Ildefonso,Ildefonso de Toledo,No determinada,"Habla de San Ildefonso, y una obra titulada claros varones. Posiblemente es una confusión, y se refiere a Hernando del Pulgar, s. XV, posiblemente toledano, que escribió → Claros varones de Castilla.",Autoridad bibliográfica o de transmisión textual,Medieval / eclesiástica hispana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.,No localizado automáticamente en 1617,,,,líneas 26380-27084,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
178,IV,XXI,De los Emperadores Arcadio y Honorio,Hernando del Pulgar,Hernando del Pulgar,Claros varones de Castilla,"Habla de San Ildefonso, y una obra titulada claros varones. Posiblemente es una confusión, y se refiere a Hernando del Pulgar, s. XV, posiblemente toledano, que escribió → Claros varones de Castilla.",Autoridad bibliográfica o de transmisión textual,Humanista castellana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR. Identificación insegura en las notas.,No localizado automáticamente en 1617,,,,líneas 26380-27084,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
179,IV,XXI,De los Emperadores Arcadio y Honorio,Paulo Orosio,Paulo Orosio,Historiae adversus paganos,"Paulo Orosio y Próspero Aquitanio, s. IV-V, en Aquitania (Francia). Sobre el año exacto del saqueo de Roma, 410. Aunque estos autores añaden dos más, ergo, 412. Empleados por Mariana para contrastar las fechas, o, como mínimo, para indicar que no todos los autores concuerdan.",Autoridad cronológica,Tardorromana cristiana,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,No localizado automáticamente en 1617,,,,líneas 26380-27084,"No hay coincidencia automática fiable; puede deberse a OCR, variante nominal o error de las notas. Requiere revisión manual."
180,IV,XXI,De los Emperadores Arcadio y Honorio,Próspero Aquitanio,Próspero de Aquitania,Chronicon,"Paulo Orosio y Próspero Aquitanio, s. IV-V, en Aquitania (Francia). Sobre el año exacto del saqueo de Roma, 410. Aunque estos autores añaden dos más, ergo, 412. Empleados por Mariana para contrastar las fechas, o, como mínimo, para indicar que no todos los autores concuerdan.",Autoridad cronológica,Cristiana tardoantigua,Borrador desde notas Word; pendiente relocalizar en 1601 y contrastar con 1617 solo si hace falta OCR.,Confirmado en 1617,prospero,"pitan,l!amado Saulo,ludiodc nació, pa* | fe Roma el año dequatroziemosy diez,- ^ / ra q dielíe fobre ellos de rtpente.Eftauá I conforme a la cuenta mas acertada;, da- / alojidosalashaldasJc!o5Alpe$,juntoa do que Paulo Oroftoy Profpero Aquw / Pok-ncia,qo> fe llama Polenfara, puc- tanteo, acftc numero parece añaden do*",27042,líneas 26380-27084,Nombre localizado en el rango OCR del mismo libro/capítulo aproximado. Revisar facsímil para cita literal.
